Country,orders,revenue,revenue_share_pct
United Kingdom,33541,14389234.917,82.81667347183493
EIRE,567,616570.54,3.5486474005095254
Netherlands,228,554038.09,3.1887443533415696
Germany,789,425019.711,2.446184166706148
France,614,348768.96,2.0073259797369016
Australia,95,169283.46,0.9743042706488347
Spain,154,108332.49,0.6235033691833933
Switzerland,90,100061.94,0.5759025451831352
Sweden,104,91515.82,0.526715688927495
Denmark,43,68580.69,0.3947134537009335
Belgium,149,65387.82,0.37633701647176454
Norway,45,56322.5,0.3241619251143555
Portugal,93,55554.78,0.31974334296425927
Channel Islands,55,44623.33,0.25682781406743616
Japan,33,43023.909999999996,0.24762241540320068
Italy,65,32108.170000000002,0.18479730479114023
Finland,57,29925.54,0.1722352639972773
Singapore,11,25317.06,0.1457113393019778
Cyprus,37,24849.95,0.14302290613867422
Austria,45,23613.010000000002,0.1359037468035781
Greece,18,19096.19,0.10990736761950382
Poland,28,10654.29,0.06132034545921482
Israel,7,10415.24,0.05994450262200789
United Arab Emirates,11,9202.69,0.05296571896898448
Unspecified,16,8607.35,0.04953926310325443
USA,20,8366.86,0.048155132402899314
Malta,9,8099.09,0.0466139927395699
Iceland,8,4921.53,0.028325671610955724
Lithuania,6,4892.68,0.028159626574965686
Canada,8,4883.04,0.02810414393555688
Thailand,2,3070.54,0.017672371743808125
RSA,2,1933.74,0.011129564225143305
Lebanon,1,1693.88,0.009749059464915522
Brazil,2,1411.87,0.008125962043787209
Bahrain,4,1354.37,0.007795023063911041
European Community,4,1300.25,0.007483537540591073
Korea,2,1118.51,0.0064375401457616
Czech Republic,2,826.74,0.0047582694299621335
West Indies,1,536.41,0.0030872865773108695
Saudi Arabia,1,145.92,0.0008398367990179192
Nigeria,2,140.39000000000001,0.0008080091023446114
