InvoiceStartMonth,orders,revenue,aov
2009-12-01,1512,683504.01,452.05291666666665
2010-01-01,1011,555802.672,549.7553630069239
2010-02-01,1104,504558.956,457.02803985507245
2010-03-01,1524,696978.471,457.33495472440944
2010-04-01,1329,591982.002,445.4341625282167
2010-05-01,1377,597833.38,434.1564124909223
2010-06-01,1497,636371.13,425.0976152304609
2010-07-01,1381,589736.17,427.03560463432297
2010-08-01,1293,602224.6,465.7576179427687
2010-09-01,1689,829013.951,490.8312320899941
2010-10-01,2133,1033112.01,484.34693389592127
2010-11-01,2587,1166460.022,450.8929346733669
2010-12-01,1400,570422.73,407.44480714285714
2011-01-01,987,568101.31,575.58390070922
2011-02-01,997,446084.92,447.4272016048144
2011-03-01,1321,594081.76,449.72124148372444
2011-04-01,1149,468374.331,407.63649347258485
2011-05-01,1555,677355.15,435.59816720257237
2011-06-01,1393,660046.05,473.8306173725772
2011-07-01,1331,598962.901,450.0096927122464
2011-08-01,1280,644051.04,503.16487500000005
2011-09-01,1755,950690.202,541.7038188034188
2011-10-01,1929,1035642.45,536.8804821150856
2011-11-01,2657,1156205.61,435.15453895370723
2011-12-01,778,517208.44,664.7923393316196
