Segment,customers,revenue_total,revenue_avg,recency_avg,frequency_avg,customer_share_pct,revenue_share_pct
VIP,59,5553325.713,94124.16462711865,46.79661016949152,81.03389830508475,1.0037427696495407,31.961946893570612
Champions,550,4481411.191,8148.020347272726,10.763636363636364,20.061818181818182,9.35692412385165,25.792585181829224
Loyal,1263,3546942.235,2808.3469794140933,35.01979414093428,7.954869358669834,21.48690030622661,20.414285998792927
Others,916,1260410.923,1375.9944574235808,180.08078602620088,3.811135371179039,15.58353181354202,7.254245305780846
Lost,1621,1112397.793,686.2416983343616,499.37877853177054,2.1085749537322642,27.57740728138823,6.402361579685567
At Risk,361,635710.121,1760.9698642659282,253.78947368421052,5.429362880886426,6.141544743109901,3.6588045033164347
Potential Loyalists,532,462639.25,869.6226503759399,25.06954887218045,2.492481203007519,9.050697516161959,2.6627019381856556
About to Sleep,206,106701.962,517.9706893203884,133.98058252427185,1.4854368932038835,3.504593399115345,0.6141189296533145
Promising,236,98571.27,417.67487288135595,58.92372881355932,1.0,4.014971078598163,0.5673230528504046
B2B/Wholesale,5,76663.0,15332.6,326.2,48.2,0.08506294658046955,0.44123086981298476
New Customers,129,40030.81,310.3163565891473,16.286821705426355,1.0,2.1946240217761144,0.23039574652202927
